alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1761555563.3265,elite,139.67870003275,1761115420.759,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762930169,1763023825.8421,80,http,http://172.67.194.114:80,false,13.027191162109,13350,1,99.99250992435,172.67.194.114
true,1758178199.7818,elite,110.31195340174,1742567748.2649,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849694,1763023824.8725,80,http,http://104.16.116.92:80,false,19.798994064331,80651,3240,96.137845537662,104.16.116.92
true,1758185022.0322,elite,111.20623637445,1742566790.2882,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848916,1763023824.8435,80,http,http://104.16.107.165:80,false,17.08459854126,80501,3007,96.399147387077,104.16.107.165
true,1758183254.4855,elite,110.24303996353,1720481945.5965,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Invermae Solutions SL",51.5072,-0.127586,false,"Invermae Solutions SL",true,England,success,Europe/London,W1B,1762848796,1763023823.6498,80,http,http://185.238.228.160:80,false,14.418125152588,81543,2267,97.29507218709,185.238.228.160
true,1761556001.8053,elite,111.39894673277,1742356193.5578,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Cloudflare London, LLC",50.1109,8.68213,false,"DomainContext Inc",true,Hesse,success,Europe/Berlin,60313,1762848920,1763023823.5854,80,http,http://45.159.219.52:80,false,14.935731887817,81210,3343,96.046266838551,45.159.219.52
true,1761914004.2945,elite,111.36012419092,1723898834.5024,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849109,1763023823.3987,80,http,http://104.21.119.177:80,false,19.396781921387,80564,3853,95.43575346198,104.21.119.177
true,1762174964.8594,elite,110.93598015708,1742565533.4776,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849495,1763023823.3975,80,http,http://104.18.163.48:80,false,17.878532409668,80505,3009,96.397011279546,104.18.163.48
true,1758180441.7097,elite,111.66059263532,1742567817.1993,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Miami,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",25.7617,-80.1918,false,"Cloudflare, Inc.",false,Florida,success,America/New_York,33102,1762848689,1763023822.6938,80,http,http://104.21.228.237:80,false,19.912958145142,80349,636,99.214669383219,104.21.228.237
true,1759218179.0164,elite,110.47044394012,1742541482.9,"AS29085 Porsche Informatik Gesellschaft m.b.H",PORSCHE-AS,Vienna,Europe,EU,Austria,AT,,false,"Porsche Informatik Gesellschaft m.b.H",48.1951,16.3483,false,"Porsche Konstruktionen GmbH & Co",true,Vienna,success,Europe/Vienna,1060,1762848970,1763023822.2202,80,http,http://212.183.88.210:80,false,18.593788146973,81124,690,99.15662356076,212.183.88.210
true,1759218119.4086,elite,110.1535947599,1721612981.6697,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Jacksonville,"North America",NA,"United States",US,Deerwood,true,"Cloudflare, Inc.",30.2439,-81.5322,false,"Newfold Digital, Inc",true,Florida,success,America/New_York,32256,1762848610,1763023822.2189,80,http,http://66.235.200.66:80,false,16.626119613647,81862,3732,95.639881300091,66.235.200.66
true,1762539309.8624,elite,109.96315448034,1742566158.8781,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849308,1763023822.0752,80,http,http://198.41.211.19:80,false,14.832258224487,81655,3025,96.427727916863,198.41.211.19
true,1759218193.2086,elite,110.8731563301,1742568728.3508,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"New York","North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7128,-74.006,false,"Cloudflare, Inc.",false,"New York",success,America/New_York,10123,1762848974,1763023822.0712,80,http,http://104.21.70.252:80,false,18.308877944946,80798,3432,95.925442241482,104.21.70.252
true,1759218146.7196,elite,110.149726791,1750615499.432,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Southport,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",53.6483,-3.00559,false,"Softconstruct Limited",true,England,success,Europe/London,"PR8 1NH",1762849441,1763023821.4905,80,http,http://185.162.230.84:80,false,19.372463226318,80597,94,99.883506215067,185.162.230.84
true,1759208530.6927,elite,110.10532244543,1721972831.3575,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762848664,1763023821.3581,80,http,http://172.67.70.230:80,false,15.72322845459,80599,1694,97.941501707314,172.67.70.230
true,1758179818.8993,elite,111.16480454104,1750609412.7608,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Pittsburgh,"North America",NA,"United States",US,"Allegheny Center",true,"Cloudflare London, LLC",40.4526,-80.0046,false,"Confluence Technologies",true,Pennsylvania,success,America/New_York,15212,1762848867,1763023821.3014,80,http,http://159.112.235.64:80,false,17.658472061157,81067,99,99.878027745608,159.112.235.64
true,1758184288.7692,elite,109.93138126113,1723105097.9665,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849397,1763023819.9752,80,http,http://104.21.30.98:80,false,19.742250442505,80870,3508,95.842518191946,104.21.30.98
true,1759208200.1157,elite,110.55310527092,1748782702.2724,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Great Golden Horse Co",1.35208,103.82,false,"Rich TOP EC Limited",true,"North West",success,Asia/Singapore,858877,1762848846,1763023819.1193,80,http,http://154.194.12.138:80,false,16.88289642334,81598,3808,95.541296864389,154.194.12.138
true,1758185048.344,elite,111.06715101076,1742337168.4335,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762849504,1763023819.0752,80,http,http://45.67.215.250:80,false,19.233465194702,81472,978,98.813826561552,45.67.215.250
true,1758182549.3636,elite,110.80727591661,1748571767.5201,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Great Golden Horse Co",1.35208,103.82,false,"Rich TOP EC Limited",true,"North West",success,Asia/Singapore,858877,1762849023,1763023818.8889,80,http,http://154.194.12.89:80,false,18.433570861816,81171,3347,96.039896826711,154.194.12.89
true,1759208321.9948,elite,110.70338944471,1720479797.2086,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Invermae Solutions SL",51.5072,-0.127586,false,"Invermae Solutions SL",true,England,success,Europe/London,W1B,1762848800,1763023818.8015,80,http,http://185.238.228.90:80,false,17.797946929932,81640,4652,94.609001993232,185.238.228.90
true,1759208277.6176,elite,111.44748573818,1745121149.7428,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848993,1763023818.7836,80,http,http://104.17.49.27:80,false,18.65029335022,80484,2622,96.844993141289,104.17.49.27
